A	bin	ab		a	Ca
95	1011111	{1, 0, 1}	{6, 2}	6 0 2 
96	1100000	{1, 0, 1}	{7, 2}	7 0 2 
97	1100001	{1, 0, 1}	{8, 2}	8 0 2 
98	1100010	{1, 0, 1}	{9, 2}	9 0 2 
99	1100011	{1, 0, 1}	{1, 3}	1 0 3 
100	1100100	{1, 0, 1}	{2, 3}	2 0 3 
101	1100101	{1, 0, 1}	{3, 3}	3 0 3 
102	1100110	{1, 0, 1}	{4, 3}	4 0 3 
103	1100111	{1, 0, 1}	{5, 3}	5 0 3 
104	1101000	{1, 0, 1}	{6, 3}	6 0 3 
105	1101001	{1, 0, 1}	{7, 3}	7 0 3 
106	1101010	{1, 0, 1}	{8, 3}	8 0 3 
107	1101011	{1, 0, 1}	{9, 3}	9 0 3 
108	1101100	{1, 0, 1}	{1, 4}	1 0 4 
109	1101101	{1, 0, 1}	{2, 4}	2 0 4 
110	1101110	{1, 0, 1}	{3, 4}	3 0 4 
111	1101111	{1, 0, 1}	{4, 4}	4 0 4 
112	1110000	{1, 0, 1}	{5, 4}	5 0 4 
113	1110001	{1, 0, 1}	{6, 4}	6 0 4 
114	1110010	{1, 0, 1}	{7, 4}	7 0 4 
115	1110011	{1, 0, 1}	{8, 4}	8 0 4 
116	1110100	{1, 0, 1}	{9, 4}	9 0 4 
117	1110101	{1, 0, 1}	{1, 5}	1 0 5 
118	1110110	{1, 0, 1}	{2, 5}	2 0 5 
119	1110111	{1, 0, 1}	{3, 5}	3 0 5 
120	1111000	{1, 0, 1}	{4, 5}	4 0 5 
121	1111001	{1, 0, 1}	{5, 5}	5 0 5 
122	1111010	{1, 0, 1}	{6, 5}	6 0 5 
123	1111011	{1, 0, 1}	{7, 5}	7 0 5 
124	1111100	{1, 0, 1}	{8, 5}	8 0 5 
125	1111101	{1, 0, 1}	{9, 5}	9 0 5 
126	1111110	{1, 0, 1}	{1, 6}	1 0 6 
127	1111111	{1, 0, 1}	{2, 6}	2 0 6 
128	10000000	{1, 0, 1}	{3, 6}	3 0 6 
129	10000001	{1, 0, 1}	{4, 6}	4 0 6 
130	10000010	{1, 0, 1}	{5, 6}	5 0 6 
131	10000011	{1, 0, 1}	{6, 6}	6 0 6 
132	10000100	{1, 0, 1}	{7, 6}	7 0 6 
133	10000101	{1, 0, 1}	{8, 6}	8 0 6 
134	10000110	{1, 0, 1}	{9, 6}	9 0 6 
135	10000111	{1, 0, 1}	{1, 7}	1 0 7 
136	10001000	{1, 0, 1}	{2, 7}	2 0 7 
137	10001001	{1, 0, 1}	{3, 7}	3 0 7 
138	10001010	{1, 0, 1}	{4, 7}	4 0 7 
139	10001011	{1, 0, 1}	{5, 7}	5 0 7 
140	10001100	{1, 0, 1}	{6, 7}	6 0 7 
141	10001101	{1, 0, 1}	{7, 7}	7 0 7 
142	10001110	{1, 0, 1}	{8, 7}	8 0 7 
143	10001111	{1, 0, 1}	{9, 7}	9 0 7 
144	10010000	{1, 0, 1}	{1, 8}	1 0 8 
145	10010001	{1, 0, 1}	{2, 8}	2 0 8 
146	10010010	{1, 0, 1}	{3, 8}	3 0 8 
147	10010011	{1, 0, 1}	{4, 8}	4 0 8 
148	10010100	{1, 0, 1}	{5, 8}	5 0 8 
149	10010101	{1, 0, 1}	{6, 8}	6 0 8 
150	10010110	{1, 0, 1}	{7, 8}	7 0 8 
151	10010111	{1, 0, 1}	{8, 8}	8 0 8 
152	10011000	{1, 0, 1}	{9, 8}	9 0 8 
153	10011001	{1, 0, 1}	{1, 9}	1 0 9 
154	10011010	{1, 0, 1}	{2, 9}	2 0 9 
155	10011011	{1, 0, 1}	{3, 9}	3 0 9 
156	10011100	{1, 0, 1}	{4, 9}	4 0 9 
157	10011101	{1, 0, 1}	{5, 9}	5 0 9 
158	10011110	{1, 0, 1}	{6, 9}	6 0 9 
159	10011111	{1, 0, 1}	{7, 9}	7 0 9 
160	10100000	{1, 0, 1}	{8, 9}	8 0 9 
161	10100001	{1, 0, 1}	{9, 9}	9 0 9 
162	10100010	{0, 1, 1}	{1, 1}	0 1 1 
163	10100011	{0, 1, 1}	{2, 1}	0 2 1 
